"Team","Roster","X25.Man.Payroll","Injured.Reserve","Retained","Buried","Suspended","X2017.Total.Payroll","Rank"
"Los Angeles Dodgers",39,184284091,22654516,41492656,11675000,0,259119625,1
"Boston Red Sox",38,172158546,5941108,30597474,2605000,0,209872508,2
"New York Yankees",37,164826896,7867680,36170687,2305000,0,209690952,3
"San Francisco Giants",35,171792784,7219058,6354972,6605000,0,189806809,4
"Detroit Tigers",35,90755330,1.8e+07,77874916,4226400,0,188498884,5
"Toronto Blue Jays",35,125422069,22811106,38864802,8395700,0,187067487,6
"Washington Nationals",36,164539852,11351707,5952690,1605000,0,182238854,7
"Baltimore Orioles",35,163655046,0,7267168,8935000,0,175349127,8
"Chicago Cubs",36,161127834,0,10748400,1070000,0,172092536,9
"Los Angeles Angels",35,109185825,16095730,40248286,3210000,0,166161209,10
"Texas Rangers",36,126365185,1074360,33806996,5774990,0,163350840,11
"Seattle Mariners",35,126620983,23249738,10137477,7066500,0,161397330,12
"Kansas City Royals",36,125678691,1046749,19965515,3391100,0,148227822,13
"St. Louis Cardinals",37,107961954,6935000,29772125,1747500,0,145256085,14
"New York Mets",34,48736470,44924726,50270502,535000,0,143990158,15
"Colorado Rockies",35,105029084,0,33618391,2152000,0,139324341,16
"Houston Astros",40,132536382,835843,3284838,2535000,0,138709677,17
"Cleveland Indians",39,115772319,6129713,10007205,1070000,0,131958928,18
"Minnesota Twins",34,75616449,22830000,19497309,5690000,0,121048871,19
"Miami Marlins",31,72360311,21441206,13782819,5169000,0,110765599,20
"Atlanta Braves",35,80713434,1997766,21037983,3342500,0,105218575,21
"Philadelphia Phillies",32,23135934,16578578,64189622,1605000,0,104020808,22
"Arizona Diamondbacks",36,81644775,19379200,1572116,1070000,0,102619475,23
"Pittsburgh Pirates",35,64196313,16750000,14381028,1605000,0,98203030,24
"Cincinnati Reds",35,64567947,16021450,15403006,1073000,0,96436003,25
"Chicago White Sox",30,32540383,7571000,45746296,2680000,0,86382688,26
"San Diego Padres",32,24930424,5182750,42793983,9969600,0,77921678,27
"Tampa Bay Rays",36,63018694,6867218,7998455,2675600,0,77811205,28
"Oakland Athletics",33,31723817,1437784,39189018,3747500,0,73477080,29
"Milwaukee Brewers",34,57578930,547000,6033614,9463200,0,68945179,30
