"Active.Players..38.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Damon
										
										Johnny Damon",37,"LF","Pre-Arb","$5,250,000","-","-","$5,250,000","$5,250,000",11.39,0
"Upton
										
										Melvin Upton",26,"LF","Arb 2","$4,825,000","-","-","$4,825,000","$4,825,000",10.47,0
"Zobrist
										
										Ben Zobrist",30,"2B","Vet","$4,500,000","$140,475","-","$4,640,475","$4,640,475",10.07,0
"Shields
										
										James Shields",29,"SP","Vet","$4,250,000","-","-","$4,250,000","$4,250,000",9.22,0
"Shoppach
										
										Kelly Shoppach",31,"C","Vet","$3,000,000","-","-","$3,000,000","$3,000,000",6.51,0
"Farnsworth
										
										Kyle Farnsworth",35,"RP","Vet","$2,600,000","-","-","$2,600,000","$2,600,000",5.64,0
"Longoria
										
										Evan Longoria",25,"3B","Vet","$2,500,000","-","-","$2,500,000","$2,500,000",5.42,0
"Price
										
										David Price",25,"SP","Pre-Arb","$1,250,000","$933,333","-","$2,183,333","$2,183,333",4.74,0
"Howell
										
										J.P. Howell",28,"RP","Arb 2","$1,100,000","-","-","$1,100,000","$1,100,000",2.39,0
"Davis
										
										Wade Davis",25,"RP/CL","Vet","$1,000,000","-","-","$1,000,000","$1,000,000",2.17,0
"Johnson
										
										Dan Johnson",31,"1B","Pre-Arb","$1,000,000","-","-","$1,000,000","$1,000,000",2.17,0
"Peralta
										
										Joel Peralta",35,"RP","Arb 2","$925,000","-","-","$925,000","$925,000",2.01,0
"Sonnanstine
										
										Andy Sonnanstine",28,"SP","Arb 1","$912,500","-","-","$912,500","$912,500",1.98,0
"Niemann
										
										Jeff Niemann",28,"RP","Pre-Arb","$903,000","-","-","$903,000","$903,000",1.96,0
"Cruz
										
										Juan Cruz",32,"RP","Vet","$850,000","-","-","$850,000","$850,000",1.84,0
"Kotchman
										
										Casey Kotchman",28,"1B","Vet","$750,000","-","-","$750,000","$750,000",1.63,0
"Rodriguez
										
										Sean Rodriguez",26,"2B","Pre-Arb","$428,600","-","-","$428,600","$428,600",0.93,0
"Jaso
										
										John Jaso",27,"RF","Pre-Arb","$427,200","-","-","$427,200","$427,200",0.93,0
"Joyce
										
										Matt Joyce",26,"RF","Pre-Arb","$426,500","-","-","$426,500","$426,500",0.93,0
"Brignac
										
										Reid Brignac",25,"3B","Pre-Arb","$425,400","-","-","$425,400","$425,400",0.92,0
"Russell
										
										Adam Russell",28,"RP","Pre-Arb","$420,800","-","-","$420,800","$420,800",0.91,0
"Hellickson
										
										Jeremy Hellickson",24,"SP","Pre-Arb","$418,400","-","-","$418,400","$418,400",0.91,0
"Fuld
										
										Sam Fuld",29,"CF","Pre-Arb","$418,300","-","-","$418,300","$418,300",0.91,0
"Ramos
										
										Cesar Ramos",27,"RP","Pre-Arb","$416,700","-","-","$416,700","$416,700",0.9,0
"McGee
										
										Jake McGee",24,"RP","Pre-Arb","$415,200","-","-","$415,200","$415,200",0.9,0
"Johnson
										
										Elliot Johnson",27,"2B","Pre-Arb","$414,900","-","-","$414,900","$414,900",0.9,0
"Canzler
										
										Russ Canzler",25,"3B","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.9,0
"Chirinos
										
										Robinson Chirinos",27,"C","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.9,0
"Cobb
										
										Alex Cobb",23,"SP","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.9,0
"De La Rosa
										
										Dane De La Rosa",28,"RP","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.9,0
"Gonzalez
										
										Edgar Gonzalez",28,"RP","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.9,0
"Guyer
										
										Brandon Guyer",25,"RF","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.9,0
"Jennings
										
										Desmond Jennings",24,"LF","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.9,0
"Lobaton
										
										Jose Lobaton",26,"C","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.9,0
"Moore
										
										Matt Moore",22,"SP","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.9,0
"Ruggiano
										
										Justin Ruggiano",29,"RF","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.9,0
"Torres
										
										Alex Torres",23,"RP","Pre-Arb","$414,000","-","-","$414,000","$414,000",0.9,0
"Lopez
										
										Felipe Lopez",36,"SS","Pre-Arb","$1,000,000","-","-","$1,000,000","$273,224",0.59,0
