,W,L,PCT,GB,HOME,AWAY,RS,RA,DIFF,STRK,L10
* --Los Angeles DodgersLos Angeles Dodgers,104,58,0.642,-,57-24,47-34,770,580,190,W2,8る2ら
* --Cleveland IndiansCleveland Indians,102,60,0.63,2,49-32,53-28,818,564,254,W1,7る3ら
x --Houston AstrosHouston Astros,101,61,0.623,3,48-33,53-28,896,700,196,W1,8る2ら
x --Washington NationalsWashington Nationals,97,65,0.599,7,47-34,50-31,819,672,147,L2,5る5ら
x --Boston Red SoxBoston Red Sox,93,69,0.574,11,48-33,45-36,785,668,117,L1,5る5ら
y --Arizona DiamondbacksArizona Diamondbacks,93,69,0.574,11,52-29,41-40,812,659,153,W1,6る4ら
x --Chicago CubsChicago Cubs,92,70,0.568,12,48-33,44-37,822,695,127,L1,7る3ら
y --New York YankeesNew York Yankees,91,71,0.562,13,51-30,40-41,858,660,198,L1,6る4ら
y --Colorado RockiesColorado Rockies,87,75,0.537,17,46-35,41-40,824,757,67,L2,5る5ら
Milwaukee BrewersMilwaukee Brewers,86,76,0.531,18,44-37,42-39,732,697,35,W1,5る5ら
y --Minnesota TwinsMinnesota Twins,85,77,0.525,19,41-40,44-37,815,788,27,W1,7る3ら
St. Louis CardinalsSt. Louis Cardinals,83,79,0.512,21,44-37,39-42,761,705,56,L1,3る7ら
Kansas City RoyalsKansas City Royals,80,82,0.494,24,43-38,37-44,702,791,-89,L1,5る5ら
Tampa Bay RaysTampa Bay Rays,80,82,0.494,24,42-39,38-43,694,704,-10,W4,6る4ら
Los Angeles AngelsLos Angeles Angels,80,82,0.494,24,43-38,37-44,710,709,1,W1,4る6ら
Seattle MarinersSeattle Mariners,78,84,0.481,26,40-41,38-43,750,772,-22,L1,4る6ら
Texas RangersTexas Rangers,78,84,0.481,26,41-40,37-44,799,816,-17,L1,2る8ら
Miami MarlinsMiami Marlins,77,85,0.475,27,43-38,34-47,778,822,-44,L1,5る5ら
Toronto Blue JaysToronto Blue Jays,76,86,0.469,28,42-39,34-47,693,784,-91,W1,5る5ら
Pittsburgh PiratesPittsburgh Pirates,75,87,0.463,29,44-37,31-50,668,731,-63,W2,7る3ら
Baltimore OriolesBaltimore Orioles,75,87,0.463,29,46-35,29-52,743,841,-98,L5,2る8ら
Oakland AthleticsOakland Athletics,75,87,0.463,29,46-35,29-52,739,826,-87,W1,6る4ら
Atlanta BravesAtlanta Braves,72,90,0.444,32,37-44,35-46,732,821,-89,W1,3る7ら
San Diego PadresSan Diego Padres,71,91,0.438,33,43-38,28-53,604,816,-212,L1,3る7ら
New York MetsNew York Mets,70,92,0.432,34,37-44,33-48,735,863,-128,L1,5る5ら
Cincinnati RedsCincinnati Reds,68,94,0.42,36,39-42,29-52,753,869,-116,W1,2る8ら
Chicago White SoxChicago White Sox,67,95,0.414,37,39-42,28-53,706,820,-114,L1,6る4ら
Philadelphia PhilliesPhiladelphia Phillies,66,96,0.407,38,39-42,27-54,690,782,-92,W1,5る5ら
San Francisco GiantsSan Francisco Giants,64,98,0.395,40,38-43,26-55,639,776,-137,W1,5る5ら
Detroit TigersDetroit Tigers,64,98,0.395,40,34-47,30-51,735,894,-159,L1,2る8ら
