Tm,R/G,HR%,SO%,BB%,XBH%,X/H%,SO/W,AB/SO,AB/HR,AB/RBI,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB
ARI,5.01,3.50%,23.40%,9.30%,9.20%,41%,2.52,3.8,25.1,7.1,0.84,1.15,62%,26%,11.10%,11%
ATL,4.52,2.70%,19.10%,7.60%,7.70%,33%,2.5,4.7,33.8,7.9,0.9,1.31,69%,25%,7.80%,9%
BAL,4.59,3.80%,23.00%,6.40%,8.40%,35%,3.6,4,24.4,7.9,0.79,1.05,66%,26%,11.20%,12%
BOS,4.85,2.70%,19.30%,9.00%,7.70%,34%,2.14,4.6,33.7,7.7,0.84,1.09,68%,25%,8.00%,13%
CHC,5.07,3.60%,22.30%,9.90%,8.40%,38%,2.25,3.9,24.6,7,0.84,1.23,62%,25%,11.30%,11%
CHW,4.36,3.10%,23.10%,6.60%,7.90%,34%,3.48,3.9,29.6,8.2,0.91,1.18,65%,24%,9.80%,12%
CIN,4.65,3.50%,21.40%,9.10%,8.10%,36%,2.35,4.1,25,7.7,0.76,1.1,64%,25%,10.60%,12%
CLE,5.05,3.40%,18.50%,9.70%,9.20%,40%,1.91,4.8,26,7.1,0.77,1.04,67%,25%,9.70%,12%
COL,5.09,3.10%,22.70%,8.40%,8.40%,35%,2.71,3.9,28.8,7,0.87,1.29,64%,26%,9.60%,10%
DET,4.54,3.00%,21.40%,8.20%,8.30%,36%,2.61,4.2,29.7,7.9,0.75,1,66%,28%,8.50%,10%
HOU,5.53,3.80%,17.30%,8.10%,9.60%,38%,2.14,5.2,23.6,6.6,0.79,1.02,69%,25%,10.70%,13%
KCR,4.33,3.20%,19.40%,6.50%,7.90%,33%,2.99,4.7,28.7,8.4,0.71,0.98,70%,28%,8.60%,12%
LAA,4.38,3.10%,19.70%,8.60%,7.40%,34%,2.29,4.5,29.1,8,0.88,1.18,67%,23%,9.40%,12%
LAD,4.75,3.60%,22.30%,10.50%,8.90%,41%,2.13,3.9,24.5,7.4,0.77,1.05,62%,25%,10.70%,10%
MIA,4.8,3.10%,20.50%,7.80%,7.90%,33%,2.64,4.4,28.9,7.5,1,1.39,67%,24%,10.10%,11%
MIL,4.52,3.70%,25.60%,8.90%,8.40%,38%,2.87,3.5,24.4,7.9,0.86,1.23,60%,25%,11.90%,10%
MIN,5.03,3.30%,21.40%,9.50%,8.40%,36%,2.26,4.1,27,7.1,0.73,0.98,65%,26%,9.70%,12%
NYM,4.54,3.60%,20.90%,8.60%,8.70%,39%,2.44,4.3,24.6,7.7,0.69,0.91,65%,25%,10.30%,13%
NYY,5.3,3.80%,21.80%,9.70%,8.30%,36%,2.25,4,23.2,6.8,0.77,1.01,63%,25%,11.50%,13%
OAK,4.56,3.80%,24.30%,9.20%,9.00%,41%,2.64,3.7,23.4,7.7,0.63,0.84,62%,27%,10.80%,12%
PHI,4.26,2.80%,23.10%,8.10%,8.10%,36%,2.87,3.9,31.8,8.5,0.86,1.16,65%,25%,8.90%,11%
PIT,4.12,2.50%,19.80%,8.50%,7.10%,33%,2.34,4.5,36.1,8.6,0.9,1.23,67%,25%,7.60%,10%
SDP,3.73,3.20%,25.20%,7.70%,7.50%,36%,3.26,3.6,28.3,9.3,0.77,1,62%,24%,10.30%,15%
SEA,4.63,3.20%,20.60%,7.90%,8.10%,35%,2.6,4.4,27.8,7.8,0.8,1.03,67%,25%,9.60%,12%
SFG,3.94,2.10%,19.60%,7.60%,7.30%,32%,2.58,4.6,43.4,9.1,0.9,1.17,70%,24%,6.30%,12%
STL,4.7,3.20%,21.70%,9.50%,8.20%,36%,2.27,4.1,27.9,7.5,0.77,1.08,64%,26%,9.50%,11%
TBR,4.28,3.70%,25.00%,8.90%,7.90%,36%,2.82,3.6,24,8.2,0.78,1.02,61%,24%,11.80%,13%
TEX,4.93,3.90%,24.40%,8.90%,8.40%,39%,2.74,3.6,22.9,7.2,0.78,1.04,61%,24%,12.20%,13%
TOR,4.28,3.60%,21.60%,8.80%,8.10%,38%,2.45,4.1,24.8,8.3,0.79,1.09,65%,24%,11.00%,13%
WSN,5.06,3.50%,21.40%,8.70%,9.00%,38%,2.45,4.2,25.8,7,0.79,1.05,65%,25%,10.10%,10%
LgAvg,4.65,3.30%,21.60%,8.50%,8.30%,36%,2.53,4.1,27.1,7.7,0.81,1.09,65%,25%,9.90%,12%
,4.65,3.30%,21.60%,8.50%,8.30%,36%,2.53,4.1,27.1,7.7,0.81,1.09,65%,25%,9.90%,12%
