Tm,R/G,HR%,SO%,BB%,XBH%,X/H%,SO/W,AB/SO,AB/HR,AB/RBI,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB
ARI,4.64,3.00%,22.80%,7.40%,8.50%,36%,3.08,4,29.8,8,0.97,1.36,65%,26%,9.70%,9%
ATL,4.03,2.00%,20.00%,8.10%,7.20%,32%,2.47,4.4,45.2,9,0.92,1.32,68%,27%,6.10%,10%
BAL,4.59,4.20%,21.70%,7.70%,8.60%,37%,2.83,4.2,21.8,7.8,0.76,0.97,65%,24%,12.30%,14%
BOS,5.42,3.30%,18.40%,8.80%,9.10%,36%,2.08,4.9,27.3,6.8,0.82,1.08,69%,25%,9.60%,14%
CHC,4.99,3.10%,21.10%,10.40%,8.20%,37%,2.04,4.1,27.7,7.2,0.75,1.02,63%,26%,9.60%,13%
CHW,4.23,2.70%,21.00%,7.40%,7.80%,34%,2.82,4.3,33,8.5,0.86,1.17,68%,25%,8.40%,13%
CIN,4.42,2.70%,21.10%,7.40%,7.80%,34%,2.84,4.3,33.5,8.1,0.82,1.12,67%,29%,7.90%,10%
CLE,4.83,3.00%,20.20%,8.60%,8.50%,36%,2.35,4.4,29.6,7.5,0.77,1.01,67%,28%,8.80%,13%
COL,5.22,3.30%,21.30%,7.90%,9.10%,37%,2.69,4.2,27.5,7,0.81,1.18,66%,29%,9.70%,11%
DET,4.66,3.40%,21.30%,8.10%,8.10%,33%,2.64,4.2,26.2,7.7,0.74,0.99,66%,26%,9.70%,11%
HOU,4.47,3.20%,23.40%,8.90%,8.40%,38%,2.62,3.8,28,8,0.81,1.11,63%,25%,10.00%,12%
KCR,4.17,2.40%,20.20%,6.30%,7.30%,31%,3.2,4.5,37.8,8.7,0.9,1.2,70%,24%,7.40%,12%
LAA,4.43,2.60%,16.40%,7.80%,7.50%,32%,2.1,5.5,34.8,7.9,0.86,1.14,72%,25%,7.40%,12%
LAD,4.48,3.10%,21.40%,8.50%,7.80%,35%,2.52,4.2,29.2,8.1,0.89,1.23,66%,26%,9.50%,11%
MIA,4.07,2.10%,19.80%,7.30%,7.00%,29%,2.71,4.6,43.3,8.9,0.99,1.32,69%,27%,6.60%,10%
MIL,4.14,3.20%,25.50%,9.90%,7.60%,36%,2.58,3.5,27.5,8.3,0.91,1.31,60%,26%,11.00%,11%
MIN,4.46,3.20%,22.80%,8.20%,8.40%,37%,2.78,3.9,28.1,8.1,0.76,0.99,65%,24%,9.70%,13%
NYM,4.14,3.60%,21.30%,8.50%,7.80%,36%,2.52,4.2,25,8.4,0.68,0.92,65%,27%,10.10%,13%
NYY,4.2,3.00%,19.60%,7.80%,7.40%,33%,2.5,4.6,29.8,8.4,0.84,1.09,68%,24%,8.90%,12%
OAK,4.03,2.80%,19.00%,7.30%,7.60%,34%,2.59,4.8,32.5,8.7,0.76,0.98,70%,26%,7.80%,13%
PHI,3.77,2.70%,23.00%,7.10%,7.10%,33%,3.25,3.9,33.8,9.5,0.92,1.21,66%,25%,8.80%,12%
PIT,4.5,2.40%,21.30%,9.00%,7.40%,32%,2.38,4.2,36.2,8,0.91,1.26,65%,26%,7.80%,10%
SDP,4.23,3.00%,25.00%,7.50%,7.70%,36%,3.34,3.6,30.6,8.3,0.84,1.15,63%,26%,9.60%,13%
SEA,4.74,3.60%,20.70%,8.10%,7.90%,34%,2.55,4.3,25,7.6,0.89,1.24,66%,25%,11.30%,13%
SFG,4.41,2.10%,17.70%,9.10%,7.40%,32%,1.94,5,42.8,8.2,0.85,1.1,70%,27%,6.10%,11%
STL,4.81,3.60%,21.20%,8.50%,8.90%,39%,2.51,4.2,24.7,7.4,0.77,1.02,65%,25%,10.60%,11%
TBR,4.15,3.60%,24.50%,7.40%,8.90%,40%,3.3,3.7,25.4,8.5,0.72,0.9,63%,23%,10.80%,14%
TEX,4.72,3.50%,20.00%,7.20%,8.10%,34%,2.8,4.5,25.7,7.4,0.83,1.07,68%,25%,10.60%,14%
TOR,4.69,3.60%,21.90%,10.10%,8.30%,38%,2.16,4,24.8,7.5,0.77,1.08,63%,24%,11.20%,15%
WSN,4.71,3.30%,20.20%,8.60%,8.10%,36%,2.34,4.4,27,7.5,0.8,1.02,66%,26%,9.70%,11%
LgAvg,4.48,3.00%,21.10%,8.20%,8.00%,35%,2.58,4.2,29.5,8,0.83,1.11,66%,26%,9.20%,12%
,4.48,3.00%,21.10%,8.20%,8.00%,35%,2.58,4.2,29.5,8,0.83,1.11,66%,26%,9.20%,12%
