Tm,R/G,HR%,SO%,BB%,XBH%,X/H%,SO/W,AB/SO,AB/HR,AB/RBI,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB
ARI,4.51,2.80%,20.50%,8.70%,8.20%,37%,2.35,4.3,31.5,7.7,0.71,0.94,66%,18%,8.20%,14%
ATL,3.96,2.80%,20.40%,8.20%,7.00%,32%,2.5,4.4,32,9.1,0.86,1.17,67%,15%,8.90%,15%
BAL,4.37,3.10%,18.20%,7.30%,7.80%,33%,2.48,5,29.2,8.2,0.8,1.06,70%,17%,8.80%,13%
BOS,5.4,3.20%,17.30%,9.00%,9.20%,37%,1.92,5.2,28.1,6.8,0.77,1.03,69%,18%,8.90%,13%
CHC,4.04,2.40%,19.60%,6.90%,7.70%,33%,2.83,4.6,37.5,9.1,0.82,1.1,69%,20%,7.20%,13%
CHW,4.04,2.50%,16.10%,7.70%,6.90%,30%,2.08,5.6,35.7,8.8,0.78,1.01,72%,19%,7.20%,16%
CIN,4.54,2.90%,19.80%,8.50%,7.40%,32%,2.34,4.5,30.7,8.1,0.8,1.05,67%,20%,8.70%,13%
CLE,4.35,2.50%,20.70%,8.00%,7.70%,34%,2.57,4.3,35.8,8.2,0.83,1.16,67%,19%,7.70%,14%
COL,4.54,2.60%,19.10%,8.80%,7.60%,33%,2.16,4.6,34,8,0.82,1.15,67%,19%,7.90%,13%
DET,4.86,2.70%,18.30%,8.40%,8.00%,33%,2.19,4.9,32.9,7.4,0.71,0.96,69%,20%,7.50%,13%
FLA,3.86,2.40%,20.00%,8.70%,7.30%,33%,2.3,4.4,37,9.2,0.8,1.12,67%,20%,7.40%,14%
HOU,3.8,1.50%,18.90%,6.50%,7.00%,30%,2.9,4.8,58.9,9.7,0.85,1.13,71%,20%,4.70%,14%
KCR,4.51,2.10%,16.10%,7.10%,7.90%,32%,2.28,5.6,44,8,0.84,1.1,73%,18%,5.90%,14%
LAA,4.12,2.60%,17.80%,7.30%,7.90%,34%,2.46,5.1,35.6,8.8,0.81,1.08,71%,16%,7.70%,16%
LAD,4,1.90%,17.80%,8.20%,6.30%,27%,2.18,5,46.5,8.9,0.83,1.11,70%,18%,5.70%,13%
MIL,4.45,3.00%,17.70%,7.90%,8.10%,35%,2.25,5,29.4,7.9,0.85,1.15,69%,19%,9.10%,14%
MIN,3.82,1.70%,17.40%,7.30%,6.40%,29%,2.38,5.2,53.3,9.6,0.95,1.2,72%,15%,5.50%,16%
NYM,4.43,1.70%,17.10%,9.00%,7.20%,31%,1.9,5.2,51.9,8.3,0.76,0.98,70%,19%,4.80%,13%
NYY,5.35,3.50%,18.10%,9.90%,8.30%,36%,1.82,4.8,24.9,6.6,0.87,1.18,67%,18%,11.10%,14%
OAK,3.98,1.90%,17.90%,8.30%,6.90%,32%,2.15,5,47.8,8.9,0.71,0.91,70%,20%,5.30%,15%
PHI,4.4,2.40%,16.30%,8.60%,7.20%,32%,1.9,5.4,36.5,8.1,0.82,1.11,71%,19%,7.10%,14%
PIT,3.77,1.80%,21.60%,8.10%,6.90%,32%,2.67,4.1,50.7,9.3,0.84,1.14,67%,18%,5.30%,10%
SDP,3.66,1.50%,21.70%,8.30%,6.30%,30%,2.63,4.1,59.5,9.6,0.88,1.16,67%,17%,4.80%,13%
SEA,3.43,1.80%,21.40%,7.30%,6.40%,30%,2.94,4.2,49.7,10.2,0.85,1.03,68%,18%,5.70%,15%
SFG,3.52,2.00%,18.40%,7.40%,7.00%,32%,2.5,4.9,45.3,10.3,0.85,1.07,70%,17%,6.10%,16%
STL,4.7,2.60%,15.70%,8.70%,7.90%,33%,1.8,5.7,34.1,7.6,0.92,1.29,71%,20%,7.70%,12%
TBR,4.36,2.80%,19.40%,9.30%,7.80%,36%,2.09,4.6,31.6,8.1,0.78,1,67%,17%,8.50%,15%
TEX,5.28,3.40%,14.90%,7.60%,8.80%,35%,1.96,6.1,26.9,7,0.84,1.17,73%,18%,9.30%,12%
TOR,4.59,3.00%,19.10%,8.50%,8.10%,37%,2.26,4.7,29.9,7.9,0.72,0.91,68%,18%,9.00%,19%
WSN,3.88,2.50%,21.70%,7.70%,7.10%,33%,2.81,4.1,35.3,9.2,0.88,1.21,66%,18%,8.30%,14%
LgAvg,4.28,2.50%,18.60%,8.10%,7.50%,33%,2.3,4.8,36.4,8.4,0.82,1.09,69%,18%,7.30%,14%
,4.28,2.50%,18.60%,8.10%,7.50%,33%,2.3,4.8,36.4,8.4,0.82,1.09,69%,18%,7.30%,14%
