Tm,R/G,HR%,SO%,BB%,XBH%,X/H%,SO/W,AB/SO,AB/HR,AB/RBI,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB
ARI,4.44,2.50%,20.90%,7.80%,7.80%,33%,2.68,4.3,36.7,8.3,0.94,1.26,68%,29%,7.70%,10%
ATL,3.54,1.70%,18.40%,7.80%,6.10%,27%,2.35,4.9,54.2,9.9,1.01,1.4,70%,26%,5.30%,11%
BAL,4.4,3.60%,22.20%,7.00%,8.00%,35%,3.18,4.1,25.3,8,0.79,1.06,66%,26%,10.90%,14%
BOS,4.62,2.60%,18.40%,7.70%,7.80%,33%,2.4,4.9,35,8,0.91,1.15,70%,24%,7.90%,14%
CHC,4.25,2.80%,24.50%,9.20%,7.60%,35%,2.68,3.6,32.1,8.4,0.78,1.04,62%,26%,8.70%,12%
CHW,3.84,2.20%,20.30%,6.70%,7.00%,31%,3.05,4.5,40.7,9.3,0.99,1.3,69%,26%,7.30%,14%
CIN,3.95,2.70%,20.30%,8.00%,7.30%,33%,2.53,4.4,33.4,9.1,0.79,1.05,68%,29%,7.90%,11%
CLE,4.16,2.30%,18.90%,8.70%,7.70%,34%,2.17,4.7,38.6,8.5,0.84,1.12,69%,26%,7.10%,14%
COL,4.55,3.10%,21.10%,6.40%,8.40%,34%,3.31,4.3,30,7.9,0.82,1.12,68%,29%,9.10%,13%
DET,4.28,2.50%,20.40%,7.40%,7.90%,32%,2.77,4.5,37.1,8.5,0.77,1.04,69%,27%,7.00%,11%
HOU,4.5,3.80%,22.90%,8.00%,8.80%,39%,2.86,3.9,23.7,7.9,0.73,0.96,64%,26%,11.40%,15%
KCR,4.47,2.30%,15.90%,6.30%,7.90%,32%,2.54,5.7,40.1,8.1,0.83,1.09,74%,25%,6.40%,14%
LAA,4.08,2.90%,19.20%,7.30%,7.40%,33%,2.64,4.7,30.8,8.7,0.85,1.1,69%,27%,8.80%,13%
LAD,4.12,3.10%,20.70%,9.20%,7.80%,35%,2.23,4.3,28.8,8.4,0.8,1.15,65%,28%,9.30%,12%
MIA,3.78,2.00%,19.20%,6.30%,6.60%,28%,3.07,4.8,45.5,9.5,1.13,1.53,71%,25%,6.70%,11%
MIL,4.04,2.40%,21.60%,6.80%,7.50%,33%,3.15,4.2,37.8,8.8,0.93,1.29,68%,27%,7.60%,11%
MIN,4.3,2.60%,21.00%,7.30%,7.90%,35%,2.88,4.3,35,8.3,0.83,1.08,68%,24%,7.90%,14%
NYM,4.22,2.90%,21.00%,7.90%,8.00%,36%,2.64,4.3,31.2,8.5,0.75,0.96,67%,27%,8.40%,13%
NYY,4.72,3.40%,19.60%,8.80%,8.00%,36%,2.21,4.5,26.3,7.6,0.74,0.95,67%,25%,9.90%,15%
OAK,4.28,2.40%,18.10%,7.70%,7.60%,33%,2.36,5,38.4,8.5,0.85,1.05,71%,27%,7.10%,15%
PHI,3.86,2.20%,21.10%,6.40%,7.30%,32%,3.29,4.3,42.5,9.4,0.87,1.15,69%,28%,6.60%,13%
PIT,4.3,2.20%,21.00%,7.30%,7.30%,31%,2.87,4.3,40.2,8.5,0.94,1.25,67%,26%,7.00%,10%
SDP,4.01,2.50%,22.10%,7.10%,7.40%,34%,3.12,4.1,36.9,8.8,0.84,1.07,67%,26%,7.60%,13%
SEA,4.05,3.20%,21.80%,7.80%,7.90%,35%,2.8,4.1,28,8.9,0.82,1.08,66%,27%,9.70%,12%
SFG,4.3,2.20%,18.80%,7.40%,7.50%,31%,2.54,4.8,40.9,8.4,0.95,1.34,70%,28%,6.60%,9%
STL,3.99,2.20%,20.60%,8.20%,7.60%,34%,2.5,4.3,40,8.9,0.89,1.17,67%,26%,7.00%,13%
TBR,3.98,2.80%,21.60%,7.20%,7.90%,35%,3,4.2,32.8,9,0.78,0.99,67%,25%,8.30%,15%
TEX,4.64,2.80%,19.90%,8.10%,7.80%,34%,2.45,4.5,32,7.8,0.87,1.12,67%,26%,8.90%,15%
TOR,5.5,3.70%,18.50%,9.20%,8.90%,38%,2.02,4.8,23.7,6.5,0.84,1.19,67%,25%,11.60%,16%
WSN,4.34,2.90%,22.00%,8.80%,7.40%,33%,2.49,4,30.7,8.2,0.93,1.3,65%,27%,9.50%,12%
LgAvg,4.25,2.70%,20.40%,7.70%,7.70%,34%,2.66,4.4,33.7,8.4,0.86,1.14,68%,27%,8.20%,13%
,4.25,2.70%,20.40%,7.70%,7.70%,34%,2.66,4.4,33.7,8.4,0.86,1.14,68%,27%,8.20%,13%
