Tm,R/G,HR%,SO%,BB%,XBH%,X/H%,SO/W,AB/SO,AB/HR,AB/RBI,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB
ARI,4.23,2.10%,18.00%,8.20%,7.30%,32%,2.2,5,43.7,8.8,0.9,1.27,70%,24%,6.10%,11%
ATL,4.25,3.00%,22.60%,8.80%,7.30%,33%,2.55,3.9,30.1,8.3,0.78,1.11,64%,23%,9.40%,15%
BAL,4.6,3.50%,18.30%,6.80%,8.50%,36%,2.7,5,26.5,7.8,0.8,1.02,70%,22%,9.80%,14%
BOS,5.27,2.80%,20.50%,9.10%,8.90%,36%,2.25,4.3,31.7,6.9,0.75,1.01,66%,23%,8.10%,12%
CHC,3.72,2.80%,20.20%,7.20%,8.00%,37%,2.8,4.5,32,9.5,0.8,1.06,68%,22%,8.40%,13%
CHW,3.69,2.40%,19.90%,6.80%,6.70%,29%,2.94,4.6,37.6,9.7,0.76,0.93,70%,23%,6.80%,13%
CIN,4.31,2.50%,19.80%,9.30%,7.10%,33%,2.13,4.4,35.5,8.3,0.86,1.2,66%,25%,7.70%,11%
CLE,4.6,2.80%,20.80%,9.10%,7.90%,35%,2.28,4.3,32,7.7,0.78,1.06,66%,23%,8.30%,12%
COL,4.36,2.60%,19.60%,6.90%,7.80%,32%,2.82,4.7,35.2,8.3,0.85,1.19,69%,26%,7.50%,10%
DET,4.91,2.80%,16.80%,8.30%,7.70%,30%,2.02,5.3,32.6,7.5,0.8,1.08,71%,24%,7.60%,11%
HOU,3.77,2.50%,25.50%,7.10%,7.10%,33%,3.6,3.6,36.9,9.6,0.88,1.2,63%,22%,8.10%,12%
KCR,4,1.80%,17.20%,6.90%,6.60%,28%,2.48,5.3,49.5,9,0.91,1.17,73%,21%,5.50%,14%
LAA,4.52,2.60%,19.50%,8.40%,7.60%,32%,2.33,4.6,34.1,8,0.86,1.16,68%,23%,7.80%,11%
LAD,4.01,2.30%,18.70%,7.80%,7.10%,30%,2.41,4.8,39.8,8.9,0.8,1.06,69%,24%,6.50%,11%
MIA,3.17,1.60%,20.50%,7.20%,5.70%,27%,2.85,4.4,57.4,11.2,0.96,1.3,69%,23%,5.10%,13%
MIL,3.95,2.60%,19.50%,6.70%,7.20%,32%,2.91,4.6,34.9,9,0.93,1.22,69%,21%,8.20%,14%
MIN,3.79,2.40%,23.00%,8.60%,7.30%,34%,2.68,3.9,36.8,9.4,0.79,1.02,65%,22%,7.50%,12%
NYM,3.82,2.10%,22.30%,8.30%,6.90%,32%,2.7,4,42.8,9.4,0.82,1.04,66%,21%,6.60%,14%
NYY,4.01,2.40%,20.10%,7.70%,6.90%,31%,2.61,4.5,37.8,8.9,0.8,1.03,68%,21%,7.20%,15%
OAK,4.73,3.00%,19.00%,9.20%,8.30%,37%,2.06,4.7,29.7,7.6,0.61,0.77,68%,25%,8.10%,16%
PHI,3.77,2.30%,20.00%,6.90%,7.10%,32%,2.89,4.5,39,9.4,0.85,1.14,69%,24%,7.00%,12%
PIT,3.91,2.60%,21.70%,7.60%,7.60%,35%,2.84,4.1,34.1,9.1,0.87,1.18,66%,23%,8.20%,11%
SDP,3.81,2.40%,21.40%,7.60%,6.80%,31%,2.8,4.2,37.8,9.5,0.9,1.24,67%,23%,7.50%,11%
SEA,3.85,3.10%,21.90%,8.60%,7.40%,34%,2.56,4.1,29.6,9.3,0.75,1.01,66%,23%,9.10%,14%
SFG,3.88,1.70%,17.50%,7.60%,6.80%,29%,2.3,5.2,51.9,9.3,0.85,1.17,71%,23%,5.10%,13%
STL,4.83,2.00%,17.90%,7.80%,7.50%,31%,2.31,5,44.5,7.5,0.86,1.19,70%,26%,5.90%,11%
TBR,4.29,2.60%,18.80%,9.40%,7.80%,34%,1.99,4.7,33.6,8.3,0.79,1.09,68%,22%,7.70%,13%
TEX,4.48,2.80%,17.20%,7.50%,7.40%,32%,2.31,5.2,31.7,8.1,0.81,1.07,71%,23%,8.20%,14%
TOR,4.4,3.00%,18.30%,8.30%,7.80%,35%,2.2,4.9,29.9,8.3,0.82,1.07,69%,22%,9.00%,15%
WSN,4.05,2.70%,19.70%,7.70%,7.40%,33%,2.57,4.6,33.8,8.8,0.84,1.16,68%,24%,8.10%,13%
LgAvg,4.17,2.50%,19.90%,7.90%,7.40%,32%,2.51,4.5,35.6,8.6,0.82,1.1,68%,23%,7.50%,13%
,4.17,2.50%,19.90%,7.90%,7.40%,32%,2.51,4.5,35.6,8.6,0.82,1.1,68%,23%,7.50%,13%
