Tm,R/G,HR%,SO%,BB%,XBH%,X/H%,SO/W,AB/SO,AB/HR,AB/RBI,GB/FB,GO/AO,IP%,LD%,HR/FB,IF/FB
ARI,3.8,1.90%,19.10%,6.50%,7.00%,31%,2.93,4.8,47.1,9.7,0.92,1.22,71%,27%,5.70%,9%
ATL,3.54,2.00%,22.60%,7.80%,6.40%,29%,2.9,4,44.5,10,0.87,1.17,66%,24%,6.40%,12%
BAL,4.35,3.40%,21.00%,6.50%,8.00%,34%,3.2,4.4,26.5,8.2,0.79,1.03,67%,23%,10.30%,14%
BOS,3.91,2.00%,21.50%,8.60%,6.80%,31%,2.5,4.2,45.1,9.2,0.81,1.06,67%,23%,5.90%,11%
CHC,3.79,2.60%,24.20%,7.20%,7.50%,35%,3.34,3.7,35.1,9.3,0.76,1.02,64%,25%,8.00%,14%
CHW,4.07,2.60%,22.40%,6.90%,7.70%,33%,3.27,4.1,35.8,8.9,0.89,1.15,67%,24%,8.10%,14%
CIN,3.67,2.20%,20.90%,6.90%,6.80%,32%,3.02,4.3,41.2,9.6,0.82,1.05,68%,27%,6.70%,14%
CLE,4.13,2.30%,19.10%,8.10%,7.20%,32%,2.36,4.7,39.3,8.7,0.79,1.04,69%,25%,6.60%,12%
COL,4.66,3.00%,20.80%,6.40%,8.70%,34%,3.23,4.4,30.2,7.8,0.86,1.19,68%,27%,9.10%,12%
DET,4.67,2.50%,18.50%,7.10%,8.20%,33%,2.58,4.9,36.3,7.7,0.77,0.98,71%,24%,6.80%,10%
HOU,3.88,2.70%,23.80%,8.20%,7.00%,32%,2.91,3.8,33.4,9.1,0.79,1.02,64%,24%,8.40%,13%
KCR,4.02,1.60%,16.30%,6.30%,6.80%,28%,2.59,5.6,58.4,9.2,0.91,1.15,74%,24%,4.70%,14%
LAA,4.77,2.50%,20.10%,7.80%,7.80%,34%,2.57,4.5,36.5,7.8,0.86,1.1,68%,25%,7.60%,13%
LAD,4.43,2.20%,20.00%,8.30%,7.60%,32%,2.4,4.5,41.5,8.1,0.95,1.29,68%,25%,6.70%,9%
MIA,3.98,2.00%,22.90%,8.10%,6.70%,29%,2.83,3.9,45.4,9,1,1.34,65%,25%,6.60%,11%
MIL,4.01,2.50%,19.70%,7.00%,7.80%,35%,2.83,4.6,36.4,8.9,0.83,1.1,68%,25%,7.40%,13%
MIN,4.41,2.10%,21.30%,8.70%,7.60%,33%,2.44,4.2,43.5,8.2,0.81,1.01,67%,24%,6.30%,13%
NYM,3.88,2.00%,20.60%,8.40%,6.80%,32%,2.45,4.3,43.8,9.1,0.74,0.98,67%,25%,5.90%,12%
NYY,3.91,2.40%,18.60%,7.40%,6.90%,31%,2.51,4.9,37.4,9.3,0.8,1.03,70%,23%,6.90%,12%
OAK,4.5,2.30%,17.70%,9.40%,6.90%,32%,1.88,5,38,8.1,0.65,0.78,69%,26%,6.30%,14%
PHI,3.82,2.00%,21.10%,7.20%,6.50%,30%,2.95,4.3,44.8,9.6,0.87,1.18,68%,25%,6.20%,12%
PIT,4.21,2.50%,20.00%,8.40%,7.40%,32%,2.39,4.5,35.5,8.4,0.82,1.1,67%,25%,7.50%,11%
SDP,3.3,1.90%,21.90%,7.90%,6.20%,30%,2.77,4.1,48.6,10.6,0.96,1.29,67%,23%,6.10%,12%
SEA,3.91,2.30%,20.60%,6.60%,6.90%,31%,3.11,4.4,40.1,9.1,0.84,1.08,69%,25%,6.80%,12%
SFG,4.1,2.20%,20.50%,7.00%,7.10%,31%,2.92,4.4,41.8,8.7,0.81,1.06,69%,25%,6.30%,12%
STL,3.82,1.70%,18.60%,7.70%,6.60%,29%,2.41,4.8,51.7,9.3,0.89,1.19,69%,27%,5.20%,10%
TBR,3.78,1.90%,18.10%,8.50%,6.50%,30%,2.13,4.9,47.1,9.4,0.86,1.1,70%,22%,5.70%,13%
TEX,3.93,1.80%,19.30%,6.90%,6.60%,29%,2.79,4.7,49.2,9.1,0.95,1.25,70%,24%,5.90%,14%
TOR,4.46,2.90%,18.70%,8.10%,7.80%,34%,2.29,4.8,31.4,8,0.83,1.06,69%,23%,8.70%,16%
WSN,4.23,2.50%,21.00%,8.30%,7.10%,32%,2.52,4.3,36.5,8.7,0.85,1.13,66%,27%,7.50%,11%
LgAvg,4.07,2.30%,20.40%,7.60%,7.20%,32%,2.67,4.4,39.6,8.8,0.84,1.1,68%,25%,6.90%,12%
,4.07,2.30%,20.40%,7.60%,7.20%,32%,2.67,4.4,39.6,8.8,0.84,1.1,68%,25%,6.90%,12%
