"Team","Roster","X25.Man.Payroll","Injured.Reserve","Retained","Buried","Suspended","X2016.Total.Payroll","Rank"
"Los Angeles Dodgers",40,193881011,13288890,54652847,9090000,0,268745494,1
"New York Yankees",36,159213515,10509409,50238466,1522500,0,220743376,2
"Boston Red Sox",35,165121274,19567513,2194948,23874428,0,207758836,3
"Detroit Tigers",34,163019728,28189200,8675064,2555000,0,200179285,4
"Chicago Cubs",36,161378832,2050500,19412586,3230000,0,184352494,5
"San Francisco Giants",36,176177032,487120,1082965,4352500,0,178326844,6
"Los Angeles Angels",33,89878997,39667205,42327190,6071500,0,174363407,7
"Texas Rangers",37,134724626,21458018,6652924,2033000,0,163021690,8
"Toronto Blue Jays",36,138232539,1e+06,12644767,4083200,0,152285479,9
"Baltimore Orioles",35,144461083,2650245,2773173,3061000,0,150302252,10
"St. Louis Cardinals",36,132790389,13596500,2968981,0,0,149355870,11
"New York Mets",38,101798286,39822605,6117623,0,0,147738514,12
"Seattle Mariners",35,131833221,4036934,9931590,3556000,0,146536553,13
"Kansas City Royals",35,106349212,20825000,14210664,1016000,0,141587358,14
"Washington Nationals",35,119216458,5869400,14207786,515900,0,139383852,15
"Chicago White Sox",35,88724466,12024268,28966952,0,0,129715686,16
"Colorado Rockies",37,88354041,1289832,16710362,3037000,0,107902280,17
"Cleveland Indians",37,61284062,11875000,30765065,2015000,1e+06,105971268,18
"Philadelphia Phillies",37,53797706,22025303,21909132,6166668,0,103898809,19
"Houston Astros",34,75441606,6968124,19455584,2507500,0,103328742,20
"Pittsburgh Pirates",34,57311465,10861276,31267751,2030000,0,99518136,21
"Arizona Diamondbacks",35,78823003,1051200,17455091,3561200,0,97874482,22
"Minnesota Twins",31,61165450,24241532,8975794,3782000,0,97244457,23
"Atlanta Braves",35,46917344,8116832,41248677,4650000,0,96080633,24
"Cincinnati Reds",31,63783665,11856070,10862757,4953000,0,88626437,25
"San Diego Padres",35,21580892,13711664,48181815,1016800,0,83507657,26
"Oakland Athletics",34,27854151,19754414,35098597,507500,0,82879088,27
"Miami Marlins",37,61342038,0,12832559,6199500,0,77715306,28
"Tampa Bay Rays",33,36226000,5226100,20177348,3537000,0,63908549,29
"Milwaukee Brewers",35,49464613,2517700,8299097,4262100,0,62161191,30
