"Team","Roster","X25.Man.Payroll","Injured.Reserve","Retained","Buried","Suspended","X2013.Total.Payroll","Rank"
"Los Angeles Dodgers",39,207344759,505000,25747116,7977500,0,239894375,1
"New York Yankees",39,207768301,14900000,14645450,3008675,0,239288940,2
"Boston Red Sox",41,155978895,7040000,5340903,3630000,0,170734264,3
"Philadelphia Phillies",40,153273261,1755291,8307527,980000,0,163536898,4
"Detroit Tigers",32,145423867,3994000,5805672,0,0,155223539,5
"Los Angeles Angels of Anaheim",35,116449230,870218,23845171,1963000,0,141435103,6
"San Francisco Giants",37,135382980,2498000,2157977,490500,0,140280186,7
"Texas Rangers",39,114162497,10465901,13104000,2461100,0,137937146,8
"Toronto Blue Jays",41,118289792,0,5613565,10690000,0,131771168,9
"St. Louis Cardinals",38,95053922,2e+07,5406476,980000,0,120516627,10
"Washington Nationals",38,110761470,491000,3537090,2980000,0,116883274,11
"Chicago White Sox",35,82929539,0,28663303,980000,0,111777595,12
"Cincinnati Reds",34,97657483,4773114,0,2180000,0,103804640,13
"New York Mets",38,44861236,26000625,29697743,1976144,0,101300814,14
"Baltimore Orioles",40,96366019,2e+06,2007009,490000,0,100415869,15
"Chicago Cubs",38,48057243,6763715,40905330,5690000,0,100052899,16
"Atlanta Braves",35,86661842,7739750,202972,1471250,0,94947950,17
"Cleveland Indians",34,68279465,8602603,13914068,2668600,0,93008897,18
"Arizona Diamondbacks",33,75126043,3e+06,9916749,2947500,0,88316478,19
"Milwaukee Brewers",35,69142690,1473000,7818853,980000,9500000,88221045,20
"Kansas City Royals",39,75494673,1100000,6399663,1870000,0,84398434,21
"Seattle Mariners",34,63266296,492200,19217866,980000,0,83220022,22
"Minnesota Twins",35,56942945,1665000,17083194,6480000,0,81458898,23
"Colorado Rockies",39,74020354,0,1459705,4265500,0,79271624,24
"Tampa Bay Rays",40,67029393,3270436,4222200,490000,0,74572903,25
"San Diego Padres",40,63615894,605000,8875201,1472800,0,73286341,26
"Pittsburgh Pirates",37,65262905,2500000,832370,4098000,0,71480984,27
"Oakland Athletics",38,62190572,2875000,1984590,490000,0,67055517,28
"Miami Marlins",35,23618327,4170000,6896666,2450000,0,36028542,29
"Houston Astros",33,11675066,893384,21912961,1290000,0,35567913,30
