"Team","Roster","X25.Man.Payroll","Injured.Reserve","Retained","Buried","Suspended","X2017.Total.Payroll","Rank"
"Los Angeles Dodgers","39","$184,284,091","$22,654,516","$41,492,656","$11,675,000","0-","$259,119,625",1
"Boston Red Sox","38","$172,158,546","$5,941,108","$30,597,474","$2,605,000","0-","$209,872,508",2
"New York Yankees","37","$164,826,896","$7,867,680","$36,170,687","$2,305,000","0-","$209,690,952",3
"San Francisco Giants","35","$171,792,784","$7,219,058","$6,354,972","$6,605,000","0-","$189,806,809",4
"Detroit Tigers","35","$90,755,330","$18,000,000","$77,874,916","$4,226,400","0-","$188,498,884",5
"Toronto Blue Jays","35","$125,422,069","$22,811,106","$38,864,802","$8,395,700","0-","$187,067,487",6
"Washington Nationals","36","$164,539,852","$11,351,707","$5,952,690","$1,605,000","0-","$182,238,854",7
"Baltimore Orioles","35","$163,655,046","0-","$7,267,168","$8,935,000","0-","$175,349,127",8
"Chicago Cubs","36","$161,127,834","0-","$10,748,400","$1,070,000","0-","$172,092,536",9
"Los Angeles Angels","35","$109,185,825","$16,095,730","$40,248,286","$3,210,000","0-","$166,161,209",10
"Texas Rangers","36","$126,365,185","$1,074,360","$33,806,996","$5,774,990","0-","$163,350,840",11
"Seattle Mariners","35","$126,620,983","$23,249,738","$10,137,477","$7,066,500","0-","$161,397,330",12
"Kansas City Royals","36","$125,678,691","$1,046,749","$19,965,515","$3,391,100","0-","$148,227,822",13
"St. Louis Cardinals","37","$107,961,954","$6,935,000","$29,772,125","$1,747,500","0-","$145,256,085",14
"New York Mets","34","$48,736,470","$44,924,726","$50,270,502","$535,000","0-","$143,990,158",15
"Colorado Rockies","35","$105,029,084","0-","$33,618,391","$2,152,000","0-","$139,324,341",16
"Houston Astros","40","$132,536,382","$835,843","$3,284,838","$2,535,000","0-","$138,709,677",17
"Cleveland Indians","39","$115,772,319","$6,129,713","$10,007,205","$1,070,000","0-","$131,958,928",18
"Minnesota Twins","34","$75,616,449","$22,830,000","$19,497,309","$5,690,000","0-","$121,048,871",19
"Miami Marlins","31","$72,360,311","$21,441,206","$13,782,819","$5,169,000","0-","$110,765,599",20
"Atlanta Braves","35","$80,713,434","$1,997,766","$21,037,983","$3,342,500","0-","$105,218,575",21
"Philadelphia Phillies","32","$23,135,934","$16,578,578","$64,189,622","$1,605,000","0-","$104,020,808",22
"Arizona Diamondbacks","36","$81,644,775","$19,379,200","$1,572,116","$1,070,000","0-","$102,619,475",23
"Pittsburgh Pirates","35","$64,196,313","$16,750,000","$14,381,028","$1,605,000","0-","$98,203,030",24
"Cincinnati Reds","35","$64,567,947","$16,021,450","$15,403,006","$1,073,000","0-","$96,436,003",25
"Chicago White Sox","30","$32,540,383","$7,571,000","$45,746,296","$2,680,000","0-","$86,382,688",26
"San Diego Padres","32","$24,930,424","$5,182,750","$42,793,983","$9,969,600","0-","$77,921,678",27
"Tampa Bay Rays","36","$63,018,694","$6,867,218","$7,998,455","$2,675,600","0-","$77,811,205",28
"Oakland Athletics","33","$31,723,817","$1,437,784","$39,189,018","$3,747,500","0-","$73,477,080",29
"Milwaukee Brewers","34","$57,578,930","$547,000","$6,033,614","$9,463,200","0-","$68,945,179",30
