"Team","Roster","X25.Man.Payroll","Injured.Reserve","Retained","Buried","Suspended","X2018.Total.Payroll","Rank"
"Boston Red Sox","36","$167,955,780","$18,074,000","$41,755,860","$2,180,000","0-","$227,398,860",1
"San Francisco Giants","32","$119,689,218","$64,341,827","$21,136,053","$3,283,000","0-","$205,665,348",2
"Los Angeles Dodgers","40","$160,502,596","$3,908,850","$30,541,679","$5,590,000","0-","$199,582,045",3
"Chicago Cubs","37","$152,092,957","$37,451,220","$1,216,894","$2,725,000","$3,200,000","$194,259,933",4
"Washington Nationals","35","$130,197,979","$8,999,485","$41,161,720","$4,481,000","0-","$181,382,609",5
"New York Yankees","38","$148,010,829","$22,568,376","$9,249,414","$3,130,000","0-","$180,098,151",6
"Los Angeles Angels","37","$91,914,083","$57,532,566","$24,194,770","$1,635,000","0-","$173,784,989",7
"St. Louis Cardinals","36","$113,991,329","$27,345,600","$20,907,798","$2,310,900","0-","$163,784,311",8
"Houston Astros","36","$158,520,510","$556,400","$4,027,264","$2,189,400","0-","$163,524,216",9
"Seattle Mariners","38","$136,839,663","$13,496,812","$9,361,340","$4,025,600","0-","$160,993,827",10
"Toronto Blue Jays","37","$81,293,347","$20,481,474","$48,740,616","$5,450,000","0-","$150,946,147",11
"New York Mets","33","$82,655,203","$49,831,436","$15,314,261","$5,452,000","$1,792,000","$150,187,987",12
"Colorado Rockies","35","$131,213,168","$7,545,000","$4,442,400","$3,277,000","0-","$143,968,544",13
"Arizona Diamondbacks","35","$109,501,628","$14,124,025","$5,630,585","$15,151,500","0-","$143,324,597",14
"Cleveland Indians","35","$123,670,545","$12,836,166","$5,222,548","$3,277,000","0-","$142,804,703",15
"Texas Rangers","35","$96,239,016","$6,683,451","$36,936,251","$3,325,000","0-","$140,625,018",16
"Detroit Tigers","33","$67,047,516","$37,720,870","$24,401,899","$4,187,600","0-","$130,959,889",17
"Atlanta Braves","37","$73,567,565","$13,299,094","$42,392,955","$5,180,000","0-","$130,649,395",18
"Baltimore Orioles","38","$69,691,407","$12,650,000","$43,550,980","$3,726,500","$3,000,000","$130,467,027",19
"Kansas City Royals","30","$83,618,228","$7,189,167","$37,811,905","$4,398,500","0-","$129,944,821",20
"Minnesota Twins","35","$56,254,373","$29,213,890","$29,264,527","$2,215,000","0-","$115,509,520",21
"Milwaukee Brewers","36","$89,888,839","$7,321,500","$11,383,150","$3,275,700","0-","$108,982,016",22
"Philadelphia Phillies","40","$97,016,347","0-","$6,936,684","$2,045,000","0-","$104,297,471",23
"San Diego Padres","33","$50,169,797","$6,764,800","$44,479,430","$4,274,200","$545,000","$103,843,635",24
"Cincinnati Reds","30","$82,511,299","$1,344,890","$15,242,487","$4,395,000","0-","$100,305,768",25
"Miami Marlins","31","$43,033,514","$15,407,490","$31,020,460","$6,200,000","0-","$91,817,860",26
"Pittsburgh Pirates","34","$67,576,415","$4,670,500","$17,492,114","$3,302,000","0-","$91,025,861",27
"Oakland Athletics","35","$61,525,657","$4,972,604","$10,118,631","$6,745,000","0-","$80,315,288",28
"Chicago White Sox","32","$57,261,542","$5,920,130","$7,681,442","$4,935,000","0-","$71,839,808",29
"Tampa Bay Rays","35","$25,668,988","$2,213,706","$35,944,023","$8,225,000","0-","$68,810,167",30
