"Team","Roster","X25.Man.Payroll","Injured.Reserve","Retained","Buried","Suspended","X2014.Total.Payroll","Rank"
"Los Angeles Dodgers","35","$234,067,142","$1,500,000","$7,100,000","$3,700,000","0-","$246,367,142",1
"New York Yankees","37","$198,020,464","0-","$16,763,048","$1,022,125","0-","$214,898,031",2
"Philadelphia Phillies","30","$145,123,014","$25,000,000","$4,263,731","$3,500,000","0-","$175,061,605",3
"Detroit Tigers","35","$147,009,969","$17,310,000","$7,255,247","$1,504,000","0-","$171,996,220",4
"San Francisco Giants","42","$152,735,333","0-","$18,501,449","$750,000","0-","$171,336,782",5
"Boston Red Sox","38","$95,417,971","0-","$61,397,733","$500,000","0-","$170,095,758",6
"Los Angeles Angels of Anaheim","41","$132,451,972","0-","$32,051,279","$900,000","0-","$165,403,251",7
"Washington Nationals","38","$149,257,210","$77,160","$136,612","0-","0-","$149,470,982",8
"Toronto Blue Jays","37","$122,125,961","$3,000,000","$5,186,211","$11,500,000","0-","$141,812,172",9
"Texas Rangers","47","$129,809,240","$1,002,163","$8,819,180","0-","0-","$139,630,583",10
"St. Louis Cardinals","38","$114,533,043","0-","$5,699,886","$1,000,000","0-","$121,232,929",11
"Atlanta Braves","39","$102,713,304","0-","$14,100,492","$1,000,000","0-","$116,865,707",12
"Baltimore Orioles","36","$105,470,318","$3,000,000","$2,282,926","$3,225,000","0-","$113,562,943",13
"Cincinnati Reds","35","$99,229,931","$6,000,000","$6,890,711","$2,714,285","0-","$113,351,318",14
"Milwaukee Brewers","36","$108,174,589","0-","$2,320,491","$1,000,000","0-","$110,577,046",15
"Seattle Mariners","39","$98,030,060","$2,800,000","$3,504,114","$1,700,000","0-","$107,034,174",16
"Arizona Diamondbacks","40","$68,514,917","$9,500,000","$28,134,272","$2,500,000","0-","$106,482,519",17
"Kansas City Royals","36","$90,536,848","0-","$4,686,452","$3,335,000","0-","$98,558,300",18
"Colorado Rockies","39","$96,456,583","0-","$202,995","0-","0-","$96,659,578",19
"New York Mets","33","$73,675,535","$345,811","$19,290,982","$3,025,000","0-","$94,478,037",20
"Oakland Athletics","35","$65,760,582","$733,879","$22,605,236","$5,375,000","0-","$93,518,412",21
"Chicago Cubs","38","$53,604,470","0-","$34,683,034","$2,203,500","0-","$89,539,741",22
"Chicago White Sox","31","$60,305,897","0-","$28,411,749","$1,512,400","0-","$89,221,236",23
"Minnesota Twins","34","$72,140,448","0-","$15,337,637","$500,000","0-","$87,494,478",24
"San Diego Padres","39","$67,296,350","$501,400","$16,594,743","$2,002,000","0-","$85,001,967",25
"Cleveland Indians","33","$59,720,646","$1,000,000","$23,415,930","$1,430,000","0-","$84,369,908",26
"Pittsburgh Pirates","31","$68,883,439","$505,500","$7,320,970","$1,950,000","0-","$76,974,115",27
"Tampa Bay Rays","40","$63,704,707","0-","$13,116,339","0-","0-","$76,821,046",28
"Houston Astros","38","$41,637,464","$3,594,262","$6,051,590","$1,500,000","0-","$51,679,490",29
"Miami Marlins","34","$39,231,780","$3,500,000","$7,939,616","0-","0-","$50,671,396",30
