"Team","Roster","X25.Man.Payroll","Injured.Reserve","Retained","Buried","Suspended","X2013.Total.Payroll","Rank"
"Los Angeles Dodgers","39","$207,344,759","$505,000","$25,747,116","$7,977,500","0-","$239,894,375",1
"New York Yankees","39","$207,768,301","$14,900,000","$14,645,450","$3,008,675","0-","$239,288,940",2
"Boston Red Sox","41","$155,978,895","$7,040,000","$5,340,903","$3,630,000","0-","$170,734,264",3
"Philadelphia Phillies","40","$153,273,261","$1,755,291","$8,307,527","$980,000","0-","$163,536,898",4
"Detroit Tigers","32","$145,423,867","$3,994,000","$5,805,672","0-","0-","$155,223,539",5
"Los Angeles Angels of Anaheim","35","$116,449,230","$870,218","$23,845,171","$1,963,000","0-","$141,435,103",6
"San Francisco Giants","37","$135,382,980","$2,498,000","$2,157,977","$490,500","0-","$140,280,186",7
"Texas Rangers","39","$114,162,497","$10,465,901","$13,104,000","$2,461,100","0-","$137,937,146",8
"Toronto Blue Jays","41","$118,289,792","0-","$5,613,565","$10,690,000","0-","$131,771,168",9
"St. Louis Cardinals","38","$95,053,922","$20,000,000","$5,406,476","$980,000","0-","$120,516,627",10
"Washington Nationals","38","$110,761,470","$491,000","$3,537,090","$2,980,000","0-","$116,883,274",11
"Chicago White Sox","35","$82,929,539","0-","$28,663,303","$980,000","0-","$111,777,595",12
"Cincinnati Reds","34","$97,657,483","$4,773,114","0-","$2,180,000","0-","$103,804,640",13
"New York Mets","38","$44,861,236","$26,000,625","$29,697,743","$1,976,144","0-","$101,300,814",14
"Baltimore Orioles","40","$96,366,019","$2,000,000","$2,007,009","$490,000","0-","$100,415,869",15
"Chicago Cubs","38","$48,057,243","$6,763,715","$40,905,330","$5,690,000","0-","$100,052,899",16
"Atlanta Braves","35","$86,661,842","$7,739,750","$202,972","$1,471,250","0-","$94,947,950",17
"Cleveland Indians","34","$68,279,465","$8,602,603","$13,914,068","$2,668,600","0-","$93,008,897",18
"Arizona Diamondbacks","33","$75,126,043","$3,000,000","$9,916,749","$2,947,500","0-","$88,316,478",19
"Milwaukee Brewers","35","$69,142,690","$1,473,000","$7,818,853","$980,000","$9,500,000","$88,221,045",20
"Kansas City Royals","39","$75,494,673","$1,100,000","$6,399,663","$1,870,000","0-","$84,398,434",21
"Seattle Mariners","34","$63,266,296","$492,200","$19,217,866","$980,000","0-","$83,220,022",22
"Minnesota Twins","35","$56,942,945","$1,665,000","$17,083,194","$6,480,000","0-","$81,458,898",23
"Colorado Rockies","39","$74,020,354","0-","$1,459,705","$4,265,500","0-","$79,271,624",24
"Tampa Bay Rays","40","$67,029,393","$3,270,436","$4,222,200","$490,000","0-","$74,572,903",25
"San Diego Padres","40","$63,615,894","$605,000","$8,875,201","$1,472,800","0-","$73,286,341",26
"Pittsburgh Pirates","37","$65,262,905","$2,500,000","$832,370","$4,098,000","0-","$71,480,984",27
"Oakland Athletics","38","$62,190,572","$2,875,000","$1,984,590","$490,000","0-","$67,055,517",28
"Miami Marlins","35","$23,618,327","$4,170,000","$6,896,666","$2,450,000","0-","$36,028,542",29
"Houston Astros","33","$11,675,066","$893,384","$21,912,961","$1,290,000","0-","$35,567,913",30
