"Name","W","L","PCT","GB","HOME","AWAY","RS","RA","DIFF","STRK","L10"
"Los Angeles Dodgers",104,58,0.642,"-","57-24","47-34",770,580,190,"W2","8_2"
"Cleveland Indians",102,60,0.63,"2","49-32","53-28",818,564,254,"W1","7_3"
"Houston Astros",101,61,0.623,"3","48-33","53-28",896,700,196,"W1","8_2"
"Washington Nationals",97,65,0.599,"7","47-34","50-31",819,672,147,"L2","5_5"
"Boston Red Sox",93,69,0.574,"11","48-33","45-36",785,668,117,"L1","5_5"
"Arizona Diamondbacks",93,69,0.574,"11","52-29","41-40",812,659,153,"W1","6_4"
"Chicago Cubs",92,70,0.568,"12","48-33","44-37",822,695,127,"L1","7_3"
"New York Yankees",91,71,0.562,"13","51-30","40-41",858,660,198,"L1","6_4"
"Colorado Rockies",87,75,0.537,"17","46-35","41-40",824,757,67,"L2","5_5"
"Milwaukee Brewers",86,76,0.531,"18","44-37","42-39",732,697,35,"W1","5_5"
"Minnesota Twins",85,77,0.525,"19","41-40","44-37",815,788,27,"W1","7_3"
"St. Louis Cardinals",83,79,0.512,"21","44-37","39-42",761,705,56,"L1","3_7"
"Kansas City Royals",80,82,0.494,"24","43-38","37-44",702,791,-89,"L1","5_5"
"Tampa Bay Rays",80,82,0.494,"24","42-39","38-43",694,704,-10,"W4","6_4"
"Los Angeles Angels",80,82,0.494,"24","43-38","37-44",710,709,1,"W1","4_6"
"Seattle Mariners",78,84,0.481,"26","40-41","38-43",750,772,-22,"L1","4_6"
"Texas Rangers",78,84,0.481,"26","41-40","37-44",799,816,-17,"L1","2_8"
"Miami Marlins",77,85,0.475,"27","43-38","34-47",778,822,-44,"L1","5_5"
"Toronto Blue Jays",76,86,0.469,"28","42-39","34-47",693,784,-91,"W1","5_5"
"Pittsburgh Pirates",75,87,0.463,"29","44-37","31-50",668,731,-63,"W2","7_3"
"Baltimore Orioles",75,87,0.463,"29","46-35","29-52",743,841,-98,"L5","2_8"
"Oakland Athletics",75,87,0.463,"29","46-35","29-52",739,826,-87,"W1","6_4"
"Atlanta Braves",72,90,0.444,"32","37-44","35-46",732,821,-89,"W1","3_7"
"San Diego Padres",71,91,0.438,"33","43-38","28-53",604,816,-212,"L1","3_7"
"New York Mets",70,92,0.432,"34","37-44","33-48",735,863,-128,"L1","5_5"
"Cincinnati Reds",68,94,0.42,"36","39-42","29-52",753,869,-116,"W1","2_8"
"Chicago White Sox",67,95,0.414,"37","39-42","28-53",706,820,-114,"L1","6_4"
"Philadelphia Phillies",66,96,0.407,"38","39-42","27-54",690,782,-92,"W1","5_5"
"San Francisco Giants",64,98,0.395,"40","38-43","26-55",639,776,-137,"W1","5_5"
"Detroit Tigers",64,98,0.395,"40","34-47","30-51",735,894,-159,"L1","2_8"
